,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text
31,8250,14495,292095,1,"Sharing some glimpses from the Shining India Survey Gujarat Election 2022. 
Are the #Gujarat elections slowly reaching a turning point?
#ShiningIndiaSurvey #GujaratSurvey 
#GujaratElection2022 #Opinion https://t.co/GN6GJ8VP1Z"
32,4739,1561,76348,65,"All is not well in the BJP in Gujarat 

#GujaratElection2022 #કોંગ્રેસ_આવે_છે #GujaratMission125 https://t.co/fevxsGksdN"
33,4739,1561,76348,24,"Is lapdog media even talking about BJP-RSS' internal rebellion in Gujarat? 

#GujaratElection2022 #કોંગ્રેસ_આવે_છે #GujaratMission125 https://t.co/ZxLCqxov2o"
34,79,81,6823,0,"@msisodia Lies...
Reality
#Gujarat
@DeshGujarat
#GujaratElection2022
https://t.co/JiVfu9OKmH"
35,38,10,647,0,The cesspit of Indian states #GujaratElection2022
36,12778,14098,171862,4,"All abt Ground reality of #GujaratElection2022 with @unsubtlestyle @Maheshpurohit06 n @PokharnaPrince .. An interesting n amazing session.. Plz do watch share like n comment. #JaiShreeRam 
Plz watch it @UnSubtleDesi @thehawkeyex @vijaygajera @Starboy2079 
https://t.co/p9WJJVLJiD"
37,1198,79,13172,2,"Dear Gujjus,
Listen to what Anna has to say,  just in case you missed it. 
#GujaratElection2022 #GujaratAssemblyPolls https://t.co/VDeBT9I9Sd"
38,2079,695,23185,14,"#BJP kidnapped #AAP candidate from #Surat East, alleges #ManishSisodia 
#GujaratElection2022
https://t.co/f1dbVonlPd"
39,1798,3462,64979,3,"Can sense some hidden anti incumbency sentiments this time. Might affect some sure seats.
#GujaratElection2022"
40,155,7,1891,0,"#GujaratElection2022 
#Kejriwal एक मक्कार, धूर्त, लालची और लबाड़ है l
#Gujarati shouldn't trust him. 
#GujaratAssemblyPolls 
#Gujarat 
Delhi being a Capital, he shouldn't be CM of Capital State. @ANI"
41,445,5730,109450,0,"The vote of the citizens of Gujarat will decide the future of the Nation: @kanhaiyakumar

#GujaratAssemblyPolls #GujaratElection2022
@INCGujarat https://t.co/MUeOXwNQXz"
42,795,688,169500,8,"RSS is examining whether guidelines should be framed to prevent Modi,  Government, Ministers, MPs, MLAs and even political leaders from making derogatory (Jumla) and hurtful statements (Lies) in public. 

#HindusUnderAttack 
#GujaratElection2022 https://t.co/IUSipAtzzH"
43,2441,21067,152861,25,"#GujaratElection2022 
AAP fled #Himachal as it being Punjab's neighbor is aware of the disaster that AAP is in Punjab. A live example is AAP candidate losing deposit in Adampur bypoll

Gujaratis do not understand #Punjabi so Kejriwal found it convenient to deceive a #gujarati"
44,496,486,3449,5,"BJP in #Gujarat has kidnapped #AAP candidate &amp; threatened him to withdraw from the contest. Heights of democracy 🙏 

#BJPKidnapsAAPCandidate
#GujaratElection2022 
#GujaratAssemblyPolls 
#Fraud_BJP https://t.co/0XMgMqMRLh https://t.co/UVcaQzYQGz"
45,807,364,1621,17,"Absolutely Honoured 😊.

No Voter To Be Left Behind 🤷🏻‍♂️

#Gujarat #GujaratElection2022 #GujaratAssemblyPolls #GujaratElections2022 #ElectionDay #vote #election 

@ECISVEEP @SpokespersonECI @CEOGujarat @NehaAmin16 @ahmedabadmirror @DevChoudharyIAS https://t.co/PCBng5YaEf"
46,1583,1813,7718,1,"Oh my God ....
#GujaratElection2022 at 32nd position bottom most https://t.co/2l09zEZrNp"
47,42,6,55,59,"A week ago, 11 MLAs of Ahmedabad were sitting on stage with Modi Ji.

Yesterday, Ticket of 10 of these MLAs was cut for #GujaratElection2022 . https://t.co/HHPQtijxXq"
48,498,1418,393683,66,"The Joint Secretary of #AAP (SC ST Cell) Kiran Kumar Vasava resigned from the party along with many office bearers.

#GujaratElection2022 https://t.co/7hbRimEHl6"
49,15,0,2,3,#GujaratElection2022 @Rivaba4BJP all the best 🙌😊 medam https://t.co/5bkLJY48Ew
50,1583,1813,7718,1,"'There Was No One From BJP': AAP's 'Kidnapped' Gujarat Candidate Lashes Out At Own Party

#GujaratElection2022

https://t.co/AATMxT7TaP"
51,5000,494,29628,19,"It is 55yrs and not 70yrs 
Know the truth 
Check for yourself what Congress did as below 
#GujaratElection2022
 #BharatJodoYatra
#BharatJodoYatraOdisha 
#BharatJodoYatraAssam https://t.co/n3iV492aRq"
52,1583,1813,7718,1,"Congress is sweeping Gujarat.. 
#GujaratElection2022 https://t.co/dvCMZHagAc"
53,1284,445,4318,1,"#GujaratElection2022 is turning interesting, this interview shows how! @AAPGujarat candidate who withdrew at the last moment in Surat says he will clear his stand in 5 days. Let's wait, but meanwhile watch this...!

AajTak के साथ Kanchan Jariwala ... https://t.co/0MIyakRF28"
54,148,551,142630,0,CLEAN SWEEP BY CONGRESS IN GUJARAT AND HIOMACHAL PRADESH #GujaratElection2022
55,383,270,2290,43,"Glimpses of public meeting surat. 

.#GujaratElection2022 https://t.co/51YGWvfqa0"
56,383,270,2290,7,"@AamAadmiParty ""How can democracy be expected from a Jana Sanghi whose full-time mission is to destroy democracy? 👇👇
#BJPKidnapsAAPCandidate #BJP #GujaratElection2022 https://t.co/bLbdRo5aUI"
57,317,234,22671,7,"Growing support for AAP in tribal areas could be the biggest blow to INC if it is able to convert into votes by AAP as M-T is the main base of INC.
#GujaratElection2022 #GujaratAssemblyPolls https://t.co/ums7zNpNoJ"
58,9,0,3,97,"#GujaratElection2022 | The issue of progress &amp; development is important. I will like to express my gratitude to PM Modi, Amit Shah &amp; Gujarat CM that the party has shown faith in me: Rivaba Jadeja

Cricketer Ravindrasinh Jadeja's wife Rivaba Jadeja will contest from Jamnagar North https://t.co/DXLbBihDfc"
59,79,39,3533,0,The latest The Bharat Media Daily! https://t.co/6Splnw1QzK Thanks to @inkyswill @jerzeyredhead @SekouFranklin #smartnews #gujaratelection2022
60,24,10,35,0,"@narendramodi @imjadeja #GujaratElection2022 | The issue of progress &amp; development is important. I will like to express my gratitude to PM Modi, Amit Shah &amp; Gujarat CM that the party has shown faith in me: #RivabaJadeja

Cricketer #RavindrasinhJadeja's wife Rivaba Jadeja will contest from Jamnagar North"
61,1613,3705,421469,9,"Gujarat:

Prominent face of Patidar Movement &amp; Former NCP leader #ReshmaPatel joins @AAPGujarat.

#GujaratElection2022 https://t.co/hRgHKnCU1H"
62,223,9,745,7,"Heartiest welcome to the respected @CMOGuj Shri @Bhupendrapbjp to the milk city Anand. He is here for the upcoming events of the Gujarat Legislative Elections 2022.
#આ_ગુજરાત_મેં_બનાવ્યું_છે 
#Election2022 
#GujaratElection2022 
#BJPGujarat https://t.co/7Bo8XwxHnw"
63,2393,2816,29901,5,"Great Indian National Circus!
Ek candidate ko phone karke bola aur usne nomination file kar liya, aaj list mein kisi aur ka naam declare hua same seat pe!
🤣🤣🤣
No wonder BJP could not be defeated by this incompetent bunch!
#GujaratElection2022 https://t.co/4xZlO1AfTV"
64,4753,9997,90269,0,#GujaratElection2022 list of candidates filed nomination at #Ahmedabad Collector office for #Gujarat Assembly Elections 2022 @CollectorAhd https://t.co/zJuuLcH41k
65,73,67,21799,3,"#Gujarat #GujaratElections 
#GujaratElection2022 @narendramodi lion of coming https://t.co/I1NCdNZiWl"
66,2466,2026,386378,4,"How can democracy be expected from a Jana Sanghi whose full-time mission is to destroy democracy? 👇👇
#BJPKidnapsAAPCandidate #GujaratElection2022 https://t.co/ankFbcOp1l"
67,4850,5064,5919,8,"Hello guys please follow @dhruvika_shah3 in a large number ,
She is new on twitter and I am requesting you to follow her to grow quickly.
 
#GujaratElection2022 https://t.co/AfkvgCDrbl"
68,96,83,27014,5,"@narendramodi @EmmanuelMacron @g20org Holders of public office are subject to an unwritten rule to not ‘blabber’ hurtful remarks against fellow citizens: 

#TrumpIsALaughingStock
#Trump2024
#GujaratElection2022 https://t.co/obd39aSJMj"
69,582,428,13732,0,as expected it was a stunt … and diverting from the topic of cash for ticket scam. #KejriwalExposed #AAPkaDrama #aap #GujaratElection2022 https://t.co/rHZBbrIMPA
70,348,423,23753,0,"@Sydusm @the_hindu @Taltos2020 The last time Modi gave a slogan, the whole team changed their SM names to ""Main bhi chowkidaar.""

This time no one  has dared  to put Modi's latest slogan  ""Maine Gujarat/Morbi bridge banaya.""

#Gujarat #GujaratElection2022"
71,108,9,31,0,The smile at the end ! #GujaratElection2022 https://t.co/Whbbe5actZ
72,749,1189,3046,0,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022
#GujaratElection2022 https://t.co/7dWCzG5Y3W"
73,654,349,4762,0,"Surprisingly @BBCWorld interviewed two ex-twitter employee who accused @elonmusk of being far right &amp; spreading fake news in @TwitterIndia in the wake of #GujaratElection2022 
Wonder who spread fake news in #twitter all these years to help #Modi &amp; his politics of hate &amp;lies?"
74,5183,6660,43426,0,"#Gujarat Elections: AAP left red-faced as candidate who withdrew nomination rejects party's 'kidnapped by BJP' charge🤣🤣🤣🤣
#GujaratElection2022 #ભાજપ_આવે_છે

https://t.co/S1HQ1idKsM
Source : ""DNA"" via Dailyhunt"
75,152,87,5238,2,"Which party will win in Gujarat Elections 2022?

#Gujarat #GujaratElections #GujaratElection2022"
76,1250,1165,16012,0,"#GujaratAssemblyPolls results will be an watershed moment in Indian national politics driving 2024 LS election outcomes. 

#GujaratElection2022 #GujaratPolls"
77,345,182,599,0,"Latest dispatch with @szaffariqbal from #Gujarat #GujaratAssemblyPolls #GujaratElection2022 
https://t.co/7N1vBgqGgR"
78,2215,43213,602478,5,"How many Seats Fraud &amp; Kattar Beiman Party AAP will win in #GujaratElection2022 ?

Please RT, Share, Vote &amp; Comment!"
79,596,857,22051,0,@ArvindKejriwal Fake opinion polls by fake polling agencies  being propagated by a fake leader faking to be a national leader and a fake Hindu... So much truth about fakery in one tweet! Phew! @sanchit_gs @ARanganathan72 @SandipGhose @Indian_Analyzer @Shehzad_Ind #kejriwal #GujaratElection2022
80,1398,32920,149457,1,10 pm @NewsX #GujaratElection2022 with @rasheedkidwai @SandipGhose @ashutosh83B Roundtable on the Gujarat campaign https://t.co/DBFLNopMG3
81,110,45273,36385,0,"All-Rounder Ravindra Jadeja stands for wife, currently contesting as Gujarat's BJP Candidate

https://t.co/BbY0e00h99

#Pragnews #RavindraJadeja #RavindrasinhJadeja #RivabaJadeja #BJP #GujaratPolls #GujaratElection2022"
82,515,314,94565,2,"Watch this exclusive conversation with Singer @KirtidanGadhvi and Ojas Rawal's at #PanchayatAajTakGujarat.
Full session : https://t.co/gT25wTBQ6I 
#PanchayatAajTakGujarat  #GujaratElection2022 |
@chitraaum https://t.co/Xb6r6TIiox"
83,805,1009,25258,0,"@ANI Alpesh Thakor looks dark...

#NarendraModi ji must give @AlpeshThakor_ 5 mushrooms @ Rs 80k each

Sic that such tucchas joined BJP.

https://t.co/7qMIH5plkT
#GujaratElection2022"
84,320,538,3447,0,#GujaratElection2022 Seems like @BJPindia__ is getting desperate.  Looks like they are anticipating a major drubbing on Dec 8.  Their desperation is showing with the Kanchan Jariwala kidnapping.  AAP must be a very happy party with Cong imploding
85,29,2183239,681438,0,"#GujaratElection2022: #Congress announces final list of 37 candidates

#GujaratAssemblyPolls #GujaratAssemblyElection2022 #CongressForGujarat #congresscandidate 

https://t.co/FW8c7L2cOJ"
86,103,32,293,2,"Gujarat #GujaratElections 
#GujaratElection2022 @narendramodi lion of coming https://t.co/GffRfYo7F6"
87,103,32,293,2,"Gujarat #GujaratElections 
#GujaratElection2022 @narendramodi lion of coming https://t.co/X1GQMCsjdw"
88,569,588,1225,5,Amit Shah - Gujarat BJP CM candidate | Gujarat Elections | 🟥 DD News Telangana https://t.co/OvU9V625dd via @YouTube @DDNewslive @PIB_India @AmitShahOffice @AmitShah #GujaratElection2022
89,114,69,896,0,"I take the pledge to do my duty to vote 👍🏻    #GujaratElection #Gujarat

Will you vote in #GujaratElection2022 ? https://t.co/YOCsvzW53D"
90,5000,940,78554,2,"BJP releases its 5th list comprising of 3 candidates to contest for the upcoming Gujarat Assembly Polls 2022

1. Kheralu - Sardarsinh Chaudhary
2. Mansa - Jayantibhai Patel
3. Garbada - Mahendra Bhabhor

#GujaratElection2022"
91,123,138,1118,0,#bjp4gujarat and Pratik Patel gave an apt analysis to #IndianMedia representative in #Ahmedabad #Gujarat. #BJP is the best alternative for Gujarat. #GujaratElection2022 #GujaratAssemblyPolls @PadmajaJoshi you can sense the wave. https://t.co/rAXjWitJu6
92,1656,4908,36890,0,"Seating with Hon PM Realistic Statue of  @narendramodi ji 4th Gen of our Family is Ready for #GujaratElection2022 
#GujaratAssemblyPolls
#bjp4gujarat @BhushanABhatt @ijaivalbhatt @Bhupendrapbjp #BJP4JamalpurKhadia
#Khadia
#JamalpurKhadia  #કમળ_ખીલશે_ગુજરાત_જીતશે https://t.co/yigxO3KIcV"
93,840,2158,99681,4,"A Little girl Name - Fatima Yasir Pathan From Madhya Pradesh appeal to People’s of Gujarat Vote For Kite for Upcoming Elections and Support Barrister @asadowaisi 

#GujaratElection2022 https://t.co/tT5oJAp9pz"
94,577,95,1403,0,"PM #NarendraModi himself will distribute 'Voter Slips' during Door-to-Door public interaction in Gujarat on 28-29 November.

@narendramodi ji will repeat the same on 2-3 December.

Why on earth is SPG even allowing this ??

#GujaratAssemblyPolls #GujaratElection2022"
95,137,228,105823,5,"PM Modi to address poll rallies in Gujarat from Nov 20-22 in Saurashtra region

Read @ANI Story | https://t.co/9UlScTUpIp
#PMModi #GujaratElections2022 #GujaratAssemblyPolls  #elections2022 https://t.co/klvO5NrlYA"
96,307,446,189636,97,"PM Narendra Modi himself will distribute 'Voter Slips' during Door-to-Door public interaction in Gujarat on 28-29 November.

He will repeat the same on 2-3 December.
#GujaratAssemblyPolls"
97,2816,492,3200,8,"Congress 7th list of Candidate for upcoming #GujaratElections2022        

#assemblypolls2022 #AssemblyElections2022         #GujaratAssemblyPolls     #GujaratElections https://t.co/f3LrBB1pFb"
98,500,493,4285,35,"Tharad Congress Rally

#GujaratAssemblyPolls
https://t.co/IgeybelSSU"
99,2008,1397,106424,12,"#GujaratElections2022 

AAP- 38-42% 
BJP- 34-38%
INC-16-19%

@AamAadmiParty @ArvindKejriwal @RKCERTIFIED @Vaibhav_AAP @raghav_chadha @SandeepPathak04 
#GujaratAssemblyPolls #GujaratPolls #AAP #AAPGujarat https://t.co/EwfEK3AgM9"
100,424,43,41452,7,"Gujarat Assembly polls: BJP plans carpet bombing across 89 constituencies on Nov 18

Read @ANI Story | https://t.co/1fvuy1eGAL
#GujaratAssemblypolls #BJP https://t.co/XZto000lAo"
101,2833,485,20225,1,"#GujaratElections2022 

AAP- 38-42% 
BJP- 34-38%
INC-16-19%

@AamAadmiParty @ArvindKejriwal @RKCERTIFIED @Vaibhav_AAP @raghav_chadha @SandeepPathak04 
#GujaratAssemblyPolls #GujaratPolls #AAP #AAPGujarat"
