Tweet Scraped,Username,Description,Location,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text,Hashtags Used
178,ClubCricket2022,Cricket is life,,875,490,7491,7,"#GujaratElections : #AAP  candidate from #Surat reaches to withdraw nomination amid allegations of #Kidnapping  

#JusticeForPriya #lovejihaad https://t.co/wifVjx06bD","['GujaratElections', 'AAP', 'Surat', 'Kidnapping']"
180,Deepali_p,"Confrontationist . Non - Partisan . Psephologist . Staunch Believer of .. DEMOCRACY doesn't sustain by itself. One needs to work to keep it ALIVE !
#TeamDMF",mumbai,818,7573,79120,0,"#Gujarat and its many problems..the crux being Communal Divide which leads to problem around Livelihood, the contrast in the development &amp; govt benefits that the two communities get..
Do read this report by @hrishirajanand_ 
#GujaratElections https://t.co/ojnyvMeKMz","['Gujarat', 'GujaratElections']"
181,Ajay97025111,इंसान का इंसान से हो भाईचारा यही पैगा,,2659,2148,393990,3,"Murder of Democracy in #GujaratElections  during the Model Code of Conduct

Narrated by AAP MP 
@raghav_chadha

#BJPKidnapsAAPCandidate  (#AAP) #BJPKidnapsAAPCandidate",['GujaratElections']
184,PTchandan221,"A Common citizen, supporter of  justice, liberty, equality to all Indians and to maintain unity and integrity of the India.","Greater Noida, India",1390,347,3773,4,"Tickets are not sold in AAP. Someone paid money for a ticket &amp; money was taken too but ticket was not sold, it makes it clear that no tickets are sold in AAP. I want an unbiased investigation in the matter: Manish Sisodia 

#GujaratElections 

(ANI) https://t.co/qmHApLQee7",[]
185,Outlookindia,The Fully Loaded News Magazine From India,"Delhi, India",193,239490,430984,0,"The release of #BilkisBano convicts and the subsequent ripples didn’t deter #BJP to field daughter of a post-Godhra riot convict as its #MLA candidate.

✍️ @abhik_bh 

Read more at:

#GujaratElections

https://t.co/AjZKYRTAtM","['BilkisBano', 'BJP', 'MLA', 'GujaratElections']"
186,basu_smarajit,Democracy is not the law of the majority but the protection of the minority.... Albert Camus,,498,1418,393683,2,"#GujaratElections | Justice Samir Dave did not assign any reason for his decision.

https://t.co/znCvglC8Fz",['GujaratElections']
187,Abhishe42120211,My leader Rahul Gandhi.,"गुजरात, भारत",587,664,110649,28,"If I had been in British rule I would have walked with Gandhi for Protest against them . But in today's era, I am proud to walk with Rahul Gandhi against Fascism. @ShayarImran 

@RahulGandhi  @kharge  
#GujaratElections 
#GujaratElections2022 https://t.co/P3X58ARU9i",[]
190,valurank,I am a bot that evaluates articles. Brought to you for free by https://t.co/wX1v2BKG7I,"Austin, TX",371,312,266391,0,"Content analysis:
This article scores 66/100. The complete report can be viewed here: https://t.co/tOYLgA1jWz
(I'm a bot)

#GujaratElections #Justice #PrimeMinister https://t.co/rjH1eYRRNZ","['GujaratElections', 'Justice', 'PrimeMinister']"
196,newslaundry,"News, Current Affairs & Media Critique | Sabki Dhulai
Subscribe: https://t.co/xv1eF3C84z…
Contribute to NL Sena: https://t.co/PYEBYfFOTq",,133,334553,92367,3,"'Naroda Patiya has around 90,000 Sindhi voters.'

Expressing confidence about his daughter Payal Kukrani's victory in #GujaratElections, Manoj Kukrani cited caste equations in the constituency.

#GroundReport by @Basantrajsonu.
https://t.co/lbfLd6ZdPj","['GujaratElections', 'GroundReport']"
198,PoulomiMSaha,"News Anchor/Deputy Editor, India Today Television @indiatoday. RTs are not endorsements. Views are personal.","Mumbai & Delhi, India",1770,47900,33916,0,"After receiving a representation from @AamAadmiParty about alleged coercion of their party candidate, Kanchan Zariwala, into withdrawing his candidature, Election Comm has forwarded it to @CEOGujarat to enquire  into and take action as warranted.

@ECISVEEP 
#GujaratElections https://t.co/X60EcBpvfe",['GujaratElections']
199,Ankit_2195,Be kind to every kind!!,,400,44,21528,5,"#GujaratElections | ""Withdrew Nomination Voluntarily"": Candidate Who AAP Said Was ""Kidnapped"" https://t.co/eeCpMdVAgx https://t.co/qHbDfKUWXs",['GujaratElections']
203,EmtiyazKhan4,"District media incharge, AYW Mirzapur",Mirzapur ,150,188,21023,1,"On the way for election duty in Surat, Gujarat. Looking forward for this new opportunity and hopefully we will come back strongly from there. 
#GujaratElections #GujaratElections2022 #GujaratDiaries #AAPHaryana https://t.co/DyjCwCKHy2",[]
208,KutchniMoj,,,53,15,505,0,"Gujarat news AAP state secretary Yogesh Patel joins BJP with 500 supporters SetBack for AAP in Surat
#Gujarat #GujaratElections 
#GujaratElection2022 https://t.co/XfXFUhm5nC","['Gujarat', 'GujaratElections', 'GujaratElection2022']"
213,KutchniMoj,,,53,15,505,0,"Red alert
#AAPkaDrama
#Gujarat #GujaratElections 
#GujaratElection2022 https://t.co/KzU522Elch","['AAPkaDrama', 'Gujarat', 'GujaratElections', 'GujaratElection2022']"
214,GC8030,,Ahmedabad India,120,5,20,0,"While #GujaratElection2022
is in full swing, I'm wondering where @PrashantKishor is? They said he'd be playing a crucial role in all elections now.
#GujaratElections","['GujaratElection2022', 'GujaratElections']"
215,hemant_1110_,"INC .. supporter... Bhakt please stay away.
 Indian.. I support of Rahul ji.
#DaroMat",Union of India,4994,3396,129725,2,"Which opposition party in #Gujarat continues to speak on #CovidMismanagememt #BilkisBanoCase #MorbiBridgeCollapse ?
#GujaratElections","['Gujarat', 'CovidMismanagememt', 'BilkisBanoCase', 'MorbiBridgeCollapse']"
216,kamaleshatul,"⛳धर्मो रक्षति रक्षितः⛳
#NationFirst 🇮🇳, music addict, Brutally honest. Here for joy too. Random tweets. RT≠ endorsement.",India,479,997,104742,1,"Dramatic developments! 

AAP candidate from Surat East, Kanchan Zariwala, who his party had alleged was “kidnapped” by BJP, reaches assembly election office to withdraw his candidature amid police protection 

#GujaratElections https://t.co/uep2OglcpL https://t.co/lO8smfgNGf",[]
217,EconomicTimes,"India's No. 1 Business Daily that brings you the latest #news updates | A Times Internet Product
https://t.co/znMsuw7b49",,45,4302922,625545,0,"#GujaratElections2022 | Amit Shah, Bhupendra Patel hold roadshow in #Ahmedabad | #GujaratElections news and updates: https://t.co/9iPJGLS7BF

https://t.co/50bMbdGAZi https://t.co/E4ZZNv3OSJ","['GujaratElections2022', 'Ahmedabad', 'GujaratElections']"
220,thesocialakhbar,"Informing You, Entertaining You, Inspiring You
Politics | Sports | Bollywood & Entertainment | Global Affairs | Technology 
Latest News Updates 📰","Gujarat, India",22,10,89,0,"Ravindra Jadeja's wife Rivaba Jadeja received ticket for Jamnagar North Vidhansabha in Gujarat Elections
.
.
#rivabajadeja #ravindrajadeja #bjp #bjpgujarat #gujaratelections2022 #gujaratelections #jamnagar #politics #bjpindia #bjp4india https://t.co/1gPQgKnlrT","['rivabajadeja', 'ravindrajadeja', 'bjp', 'bjpgujarat', 'gujaratelections2022', 'gujaratelections', 'jamnagar', 'politics', 'bjpindia', 'bjp4india']"
221,ndtv,"Breaking news alerts from India.

Instagram: https://t.co/QrV2OUiLWo
YouTube: https://t.co/INzHBLXmft",India,14,17611839,1039716,0,"#GujaratElections Campaign | Amit Shah and Chief Minister Bhupendra Patel hold roadshow in Gujarat ahead of Patel's nomination 

NDTV's Tanushree Pandey reports https://t.co/sJhQ7I1lWS",['GujaratElections']
223,gr8india,"we often love some people & hate others because we don't judge humans as humans.

But rather on basis of whether he/she belongs to our community or not.",India,1259,2528,481025,0,"If the same cannot fight again, isudan Gadhvi/gopal Italia must fight from this seat. #AAPGujarat #GujaratElections
https://t.co/LdTq0XdaX8","['AAPGujarat', 'GujaratElections']"
225,31capricorn,"Researcher by Profession, Marvel & MUFC fan, Sports enthusiast , Foodies , Opinions are personal",,2491,222,17139,0,"The situation is getting tensed in Punjab day by day. What is @AAPPunjab @BhagwantMann doing to control this? 
They are busy doing rallies in #Gujrat #Gujarat but least bothered about Punjab @ArvindKejriwal @msisodia @raghav_chadha #GujratElection #GujaratElections https://t.co/Me2kTjEnvY","['Gujrat', 'Gujarat', 'GujratElection', 'GujaratElections']"
226,aap_kabap,,,8,75,18897,0,"RED ALERT 
#AAPkaDrama
#Gujarat #GujaratElections 
#GujaratElection2022 https://t.co/QaOTjhlmyg","['AAPkaDrama', 'Gujarat', 'GujaratElections', 'GujaratElection2022']"
228,suratmission,Surat mission 2022,,81,252,5288,0,"Red alert
#AAPkaDrama
#Gujarat #GujaratElections 
#GujaratElection2022 https://t.co/JTJu5qH7lA","['AAPkaDrama', 'Gujarat', 'GujaratElections', 'GujaratElection2022']"
232,hirenjoshi85,"We are an IT Service provider dealing with Graphics Designing, Customised website/ERP/CRM development, Mobile application development and Managed IT Services",Vadodara,1367,251,4732,1,Fix IT 🤣🤣🤣 #GujaratElections #GujaratElections2022 #GujaratElection2022 https://t.co/vkjs1CeyyR https://t.co/lApXRfp1Xs,"['GujaratElections', 'GujaratElections2022', 'GujaratElection2022']"
233,VbneshK,"P&L debited by CMA and credited by Consulting.... Yes, I’m a Cost Accountant who counts on Consulting......!!!!","Chennai, India",813,215,4058,0,@TimesNow The word dismisses looks like #AAP is not allowed to contest in #GujaratElections !! Phew…..,"['AAP', 'GujaratElections']"
239,syedrafi,,Hyderabad - India,252,654,37463,0,"@Gss_Views @ArvindKejriwal @SatyaHindi,

PM Modi would be doing Door to Door campaign for BJP in #GujaratElections

Please take a Note of this.",['GujaratElections']
240,AapPankaj,राजनीत,,732,358,7038,4,"This is serious.
Has political parties stooped so low that they are now kidnapping opoosing candidates?
#GujaratElections https://t.co/ReBkGGfq9K",['GujaratElections']
243,ians_india,India's largest independent News Agency,New Delhi,43,83569,382640,0,"Exuding confidence of winning the coming Assembly bypolls, Union Home Minister #AmitShah said that #BhupendraPatel will continue as Gujarat chief minister, post elections.

#GujaratElections #GujaratElection2022 @Bhupendrapbjp @AmitShah https://t.co/HgoI4gocM0","['AmitShah', 'BhupendraPatel', 'GujaratElections', 'GujaratElection2022']"
244,Yashta6,1,,127,18,1756,6,"#GujaratElections: AAP candidate from Surat (East) from Gujarat, Kanchan Jariwala, takes back his nomination after he was allegedly kidnapped last evening 

Candidate Kanchan Jariwala can be spotted in a blue shirt https://t.co/65QJPCNowk",['GujaratElections']
247,INCdilse,Born Congressi!!! (INC) ⭐ Abuse=Block ⭐ Views are mine ⭐ Some RTs are indeed endorsements! ⭐ ♂️ ⭐ 🗞️📚🪙⚽🎧 ⭐,India!,1024,1402,194731,0,"IMHO @RahulGandhi should  not take a break from @bharatjodo and go to Gujarat to campaign for @INCIndia @INCGujarat 

Maybe @priyankagandhi can go to campaign in #GujaratElections instead https://t.co/anJ0l1wKFn",['GujaratElections']
250,VamsiChandran,"Election follower,trying to be a psephologist,I am spiritual person,inspired by Periyar on social justice and Caste equality","Chennai, India",629,4059,30590,0,@kalyan2505 @RahulGandhi @bharatjodo He can change it even now today Cong cadres who r fighting for party in #GujaratElections on ground ll be missing their leader,['GujaratElections']
251,Deepu_vk,,"Hassan, India",140,161,20013,2,"These were prepared by BJP already for last #GujaratElections / still not released? 

Why @HardikPatel_ what’s the holdup? https://t.co/RWVoh3dJoE",['GujaratElections']
256,sreenindia,"Learning, Engaging, Empowering;
Youth, Education,Tech;
Entrepreneurship, Activism, Public policy, Markets;
Culture, Dance, Music, Photography;
An IIMB, JNU Alum","www.sreeni.org Delhi, India",1155,1695,22275,0,"@PMOIndia @HMOIndia @CMofGujarat who takes ownership and accountability at the highest end? People of Gujarat hold them responsible #GujaratElections 

Bridge  collapse | Morbi civic body 'acting smart': HC's strong words on authorities' absence from court https://t.co/OHAqVf38sP",['GujaratElections']
257,pardeepayur,"Ayurveda Physician, follower of Authentic Ayurveda and Real Panchakarma. Believe in propagating Ayurveda as a complete medical science.",Jaipur,92,159,2042,0,"Shri @ArvindKejriwal ji 
Shri @msisodia ji 
Aadaraniya @raghav_chadha ji 

Kaka ji has achieved the highest level of “Jhooth” please make him the President of @AamAadmiParty he has crossed the limit which you could not #GujaratElections https://t.co/HhAUGBs0ht",['GujaratElections']
265,IndianExpress,"The Indian Express brings to you latest news from India and the world, breaking round the clock. On telegram: https://t.co/O25yz9lo3W",India,308,4240809,930969,0,"#PoliticalPulse | BJP candidate from Vadodara's Raopura, Balkrishna Shukla, says that the saffron party's old-timers have a 'culture of accepting the roles given by the party, even if it is denial of their electoral candidature' #GujaratElections
https://t.co/mD8dWFF2qp","['PoliticalPulse', 'GujaratElections']"
266,TheMulyaMen,Retweets ≠ Endorsement. Views are strictly personal.,India,327,77,1822,0,"@HasanSafin @manoj_sorathiya Unreal! A candidate captured!

🚨 🚨 🚨 🚨 🚨 

#GujaratElections
#Surat
#Ahmedabad
#Gujarat 
#Gujaratpolitics","['GujaratElections', 'Surat', 'Ahmedabad', 'Gujarat', 'Gujaratpolitics']"
267,maqbool_sm,"Management Professional | Campaign for @INCIndia, @RahulGandhi  | RTs, # & news stories sharing do not necessarily mean endorsement. | Views are personal.","Dubai, Karnataka ",445,5730,109450,0,"140+ people dead on Morbi Bridge but not too much of talk about it on mainstream media. Killing in large numbers gets a pass in India, especially when the finger points at the establishment.
#vinodchand on his FB post
#GujaratBridgeCollapse #GujaratElections","['vinodchand', 'GujaratBridgeCollapse', 'GujaratElections']"
268,camukeshkabra,"Chartered Accountant |
Taxation is passion and not profession for me. Interested in Taxation, Finance and Economy",India,425,152,1022,0,"I was expecting such type of drama from Drama party and ready to see another such drama before election. No scope of Drama party in the surat east as I am from surat only but how IT wing of drama party  can create drama is best example. 
#GujaratElections #KanchanJariwala #AAP","['GujaratElections', 'KanchanJariwala', 'AAP']"
271,AdityaD13562693,I am a news reporter,"bhind, mp india",3902,969,64291,5,"Gujarat elections: AAP accuses BJP of kidnapping candidate, forcing him to withdraw nomination https://t.co/HOwUrMXb0l  

#GujaratElections #GujaratAssemblyElection2022",[]
275,MirrorNow,"We demand accountability | Relentlessly drive improvement | Address people's issues
📺 Tata Play 612, Airtel 394, Videocon d2h/Dish TV 899/733, Sun Direct 570",India,51,117090,213224,0,"#AAP files a complaint against the misuse of Police machinery to forcefully withdraw the nomination paper of its Surat East Constituency candidate, #KanchanJariwala by the BJP.

@awasthiabhi11 reports | #GujaratElections https://t.co/FVuSBvTbyh","['AAP', 'KanchanJariwala', 'GujaratElections']"
276,Varun10Vijay,News Curator,"Bengaluru South, India",48,7,107796,2,"BJP releases its 5th list comprising of 3 candidates to contest for the upcoming Gujarat Assembly Polls 2022 

#GujaratElections2022 #GujaratElections https://t.co/C7AVatkFnM",[]
277,firstpost,"Incisive opinions, in-depth analysis and views that matter.","Mumbai, India",899,2077424,678134,0,"#FPNews
#Gujaratelections2022 : #ShashiTharoor opts out from campaigning for #Congress , says not a 'star campaigner'
#GujaratElections #gujaratelections22 

https://t.co/R1quklcV1r","['FPNews', 'Gujaratelections2022', 'ShashiTharoor', 'Congress', 'GujaratElections', 'gujaratelections22']"
